Instrument,ISIN,Mnemonic
BGF-GL OPP. NAM. A2 EUR,LU0171285314,ERD6
BGF-GL SMALLC.NAM.A2 EO,LU0171288334,XMHN
BGF-JAP.SM.+MIDC.OPP.A2EO,LU0171289068,MI9Q
BGF-LATIN AMER.NAM.A2 EO,LU0171289498,ERDP
BGF-LATIN AMER.NAM.A2 LS,LU0171289738,ERDT
BGF-NEW ENERGY FD NA.A2EO,LU0171289902,ERDR
BGF-PACIFIC EQ.NA.A2 EO,LU0171290314,H2Z4
BGF-UTD KINGDOM N.A2 EO,LU0171293177,ERDX
BGF-US BASIC VAL.NA.A2 EO,LU0171293920,H2ZA
BGF-US FLEX.EQ.NA.A2 EO,LU0171296865,ERD5
BGF-US GROWTH F.NAM.A2 EO,LU0171298135,H2Z5
BGF-US SM.+MIDC.OPP.A2 EO,LU0171298648,H2ZJ
BGF-WORLD EN. F.NAM.A2EUR,LU0171301533,ERDS
BGF-WLD FINANC.F.NA.A2 EO,LU0171304719,H2ZK
BGF-WORLD GOLD N.A2 EO,LU0171305526,MI9S
BGF-WLD HEALTHSC.NA.A2EO,LU0171307068,ERDV
BGF-WORLD MNG NAM.A2 EO,LU0172157280,MI9T
FID.FDS-F.TA.2015 EO A-EO,LU0172516436,XC41
FID.FDS-F.TA.2020 EO A-EO,LU0172516865,XC49
FID.FDS-CHINA FOCUS A DL,LU0173614495,FJRH
NORDEA 1-AS.FOC.EQ.F.BPEO,LU0173782102,NDJN
NORDEA 1-NTH AM.VAL.BP-EO,LU0173783092,NDJB
NORDEA 1-NORWEG.EQ. BP-EO,LU0173784223,NDJS
NORDEA 1-SWE.KR.RES.BP-EO,LU0173785626,NDJP
NORDEA 1-NOR.KR.RES.BP-EO,LU0173786863,XE68
DB PL.IV-SOVE.PL.R1C INH.,LU0173942318,XA1G
AB FCP I-GL.EQ.BLEND A,LU0175139822,XAYR
MULTIP.-RO.SM.ENERGY BEO,LU0175571735,OZWI
MULTIP.-RO.SMART MAT.B,LU0175575991,OZWJ
BNPP L1-EQ.EUR.CL.DIS,LU0176506888,XU6Y
SISF E.M.D.A.R.A ACC E HD,LU0177592218,ZJP
AGIF-B.STYLE.EUR.EQ.AT EO,LU0178439310,AZHP
OYSTER-EU.S.+M.CA.C EO PR,LU0178554332,OFDP
ME FONDS-PERGAMON FONDS A,LU0179077945,WZF7
GS+P FDS FAMILY BUSINE.R,LU0179106983,LQ7G
DE.INV.I-CONVERT. LC,LU0179219752,DWSS
AXA WLD-OPT.INCOME A A,LU0179866354,AW47
AXA WLD-OPT.INCOME A T,LU0179866438,AW43
WALSER PTF-GERMAN SEL. IN,LU0181454132,WYU1
SISF EMERG. ASIA A ACC,LU0181495838,SRVI
SISF EMERG.ASIA B ACC,LU0181495911,SRVH
SISF EMERG.ASIA C ACC,LU0181496059,SRVG
SISF EMERG.ASIA A1 ACC,LU0181496216,ZJPJ
CANDR.EQUIT.L-ASIA INHD,LU0181786566,XUO3
VCH EXPERT NAT.RESOURC.B,LU0184391075,H2SF
AXA WLD-OPT.INCOME E T,LU0184634821,XRUA
LUXTOPIC-DJE COSMOPOLITAN,LU0185172052,LU99
DEKASTRUK.:4ERTRAGPLUS IN,LU0185900692,DEDA
DEKASTRUKTUR: 4 WACHSTUM,LU0185900775,DEDH
DEKASTRUKTUR: 4 CHANCE,LU0185901070,DEDF
JB MULTIBD-ABS.RET.B.F.B,LU0186678784,XF91
UBS LUX STR.X.-YLD EUR PA,LU0186859145,U9BA
UBS LUX STR.X.-BAL.EUR PA,LU0186859491,U9BB
UNIEXTRA: EUROSTOXX 50,LU0186860234,UIV4
UNIDIVIDENDENASS INH.A,LU0186860408,UIV5
UNIDIVIDENDENASS INH.NETA,LU0186860663,UIVR
ROBECO EMERG.MKTS EQ.D EO,LU0187076913,FHQJ
ROBECOSAM SUST.E.E. D EO,LU0187077218,FHQG
ROBECO CHINESE EQU.D EO,LU0187077309,XRQ1
ROBECO NEW WLD FIN.E.D EO,LU0187077481,XRQ2
ROBECO PPTY EQUIT. D EO,LU0187079180,FHQL
ROBECO GL CO.TRDS E.D EO,LU0187079347,XRQ3
FID.FDS-AMERICAN DIV.A DL,LU0187121727,XC4S
CSIF11-CSL USA VA.E.B USD,LU0187731129,YCF3
FIDECUM-AVANT-GARDE S.A,LU0187937411,MAM3
FIDECUM-AVANT-GARDE S.C,LU0187937684,MAM4
DKO-LUX-RENTEN HYBRID,LU0188083231,WYU3
F.TEM.INV-F.EU.SM-MID NAC,LU0188151095,TES5
F.TEM.INV-T.CHINA N ACC.,LU0188151178,TESA
F.TEM.I.-T.EM.M.N ACC. EO,LU0188151921,TESW
F.TEM.INV-T.GWTH A YDIS,LU0188152069,TESP
ALTIS FD-GL.RES INH. B,LU0188358195,DXQK
SISF ASIAN EQ.YIELD A ACC,LU0188438112,XR52
PICTET-EM.MKTS IN.NAM.PDL,LU0188499254,PJAH
PICTET-HEALTH NAM.P DL,LU0188501257,PBFL
LUXTOPIC-PACIFIC INH,LU0188847478,LU97
DJE REAL ESTATE INH P,LU0188853955,LU94
SISF GL.HIGH YLD C ACC,LU0189893794,SRVT
PICTET-BIOTECH NAM.HR EO,LU0190162189,PJA1
PIONEER-GL H.Y. NAM.AEO C,LU0190649722,XPAZ
SCHRODER ISF.-EU.VA. ADIS,LU0191612000,HV8U
PATRIARCH CL.B+W GL FRE.B,LU0191626133,HLXU
BNPP L1-SAFE DE.W7 CD,LU0191758126,F6WJ
UNI-GL-EQS EUROPE SAEO,LU0191819951,UGP1
BNPPE.-F.E./N.E.C.UEQDDEO,LU0192223062,IM2A
SISF ASIAN AQ.YIELD A DIS,LU0192582467,HV85
DB PM COMFORT-BALANCE U,LU0193173159,DWSU
DB PM COMFORT-WACHSTUM U,LU0193173233,DWSW
DANSKE INV.FD-INDIA NAM.A,LU0193801577,D5F6
DB PL.IV-CROC.EO.R1C INH.,LU0194163050,XAIT
DB PL.IV-CROC.EO.I2C INH.,LU0194163563,UWO
DB PL.IV-CROC.US R1C INH.,LU0194164702,XY4Q
US OPPORTUNITIES OP INH.,LU0194366240,OPJ6
BNPP L1-SAFE NE.W10INH.C,LU0194605332,F6WH
BNPP L1-SAFE DE.W10 CL.D.,LU0194607205,F6WK
INVESCO EUROP.GWTH EQU.A,LU0194779913,IUGR
F.TEM.INV-T.GL.BAL.A A.EO,LU0195953822,FT9D
HSBC GIF-BRAZIL EQUITY AC,LU0196696453,JM5C
HSBC GIF-BRAZIL EQUITY AD,LU0196696701,JM5K
UBS L KEY-GBL AL.DL P-ACC,LU0197216392,FGZE
UBS L KEY-GBL AL.EO P-ACC,LU0197216558,WZE1
FID.FDS-INDIA FOC.FD.A DL,LU0197229882,FPGF
FID.FDS-INDIA FOC.FD A EO,LU0197230542,FJRP
HSBC GIF-A.PA.E.JP.EQ.A C,LU0197773160,JM5L
HSBC GIF-A.PA.E.JP.EQ.A S,LU0197773673,JM5M
THREA.L-GL.ASS.ALL.EP.AEH,LU0198727850,FV2G
THR.L.-GL FOCUS EPIC AEH,LU0198728585,FV2F
UBS(L)EQ.-USA GR.DL P-ACC,LU0198837287,WZE4
UBS(L)EQ.-S.C.EU.EO P-ACC,LU0198839143,WYS3
MULTI OPPORTUNITIES III,LU0198959040,FKNY
MULTIP.-C.QUAL.USA EQ.B,LU0199670695,XG3P
SISF GREATER CHINA A DIS,LU0199880310,ZJPB
HEN.GAR.-LATIN AMER.REOA,LU0200080918,FGV1
HEN.GAR.-LATIN AMER.BEOA,LU0200081056,FGVX
HEN.GAR.-CONT.EURO.R EO A,LU0201071890,FGVH
HEN.GAR.-EMERG.MKTS R ADL,LU0201073169,FGVW
HEN.GAR.-PAN EURO.R A EO,LU0201075453,FGVM
HEN.GAR.-P.EUR.SM.CO.REOA,LU0201078713,FGVR
SISF STRAT.BOND A ACC,LU0201322137,XR56
SISF STR.BD A ACC EUR HD,LU0201323531,XR55
AMU.-EQ.LATIN AMER.AU(C),LU0201575346,GANK
AMU.-EQ.LATIN AMER.AU(D),LU0201602173,GNA0
FIDELITY ACT.STR.-EUROPE,LU0202403266,FJ2E
SISF QEP GL ACT.VAL.A ACC,LU0203345920,XR5K
SISF QEP GL ACT.VAL.A1ACC,LU0203346738,XR5L
SISF QEP GL ACT.VAL.A DIS,LU0203347892,ZPJ3
ROBECO BP GL PREM.EQ.D EO,LU0203975437,FHQT
AGIF-ASIA PAC.EQU.A EO,LU0204480833,AZHN
NN(L)-EUR.HGH DIV.PCAPEO,LU0205350837,XUMT
PENSIONPROTECT 2017 A ND,LU0206730367,A4H8
PENSIONPROTECT 2018 A ND,LU0206730797,A4H9
PENSIONPROTECT 2020 A ND,LU0206731506,A4HB
F+C PTFS FD-EUR.SMALLC. A,LU0207432559,GQCR
FPM FDS-STOCK.GE.S./M.C C,LU0207947044,FF94
WARBURG VALUE FUND A,LU0208289198,DXQA
WARBURG VALUE FUND B,LU0208289271,DXQN
SWISSCANTO LU-G.I.B.EO AT,LU0208341536,SYOC
PICTET-EUROP.IND.NA.PDYEO,LU0208604644,PIMT
PICT.-EUR.EQ.SE.NAM.PDYEO,LU0208607589,PIMU
PICT.-SM.CAP EUR.NA.PDYEO,LU0208607746,PBFR
PICT.-EUR.SUS.EQ.NA.PDYEO,LU0208609015,PIMS
PICTET-WATER P DY EO,LU0208610294,PJAF
PICTET-IND.EQS NA.PDYDL,LU0208610534,PIMV
JPM-GL.NA.RE.JPMGNR AAEO,LU0208853274,JYJ7
JPM-GL.NA.RE.JPMGNR AD,LU0208853514,JYJD
JPM-GL.NA.RE.JPMGNR DA,LU0208853944,J6G5
PIONEER INV.TOT.RET.A ND,LU0209095446,HVLQ
HEND.HORIZ.-GL.PPTY E.A1D,LU0209137206,HZ5Y
HEND.HORIZ.-GL.PPTY E.A2A,LU0209137388,HZ51
HEND.HOR.-PAN EUR.EQ. A1D,LU0209157733,HZ5L
DWS TUERKEI,LU0209404259,DWSY
JPM-EO.D.SC.JPMEDSC APAEO,LU0210072939,JR6D
DE.INV.I-GL.EM EQU. LC,LU0210301635,DWSM
DE.INV.I-GL.EM EQU. LD,LU0210302013,DWSN
DE.INV.I-GL.EM EQU. NC,LU0210302286,FKNK
DE.INV.I-GL.EM EQU. FC,LU0210302369,FKN1
JPM-CHINA JPMCHINA AADL,LU0210526637,JYJT
JPM-GR.CHINA JPMGC AADL,LU0210526801,JR69
JPM-INDIA FD JPMI AADL,LU0210527015,JR67
JPM-EMG EU.EQ.JPMEEE AAEO,LU0210529144,FH50
JPM-EOLND.EQ.JPMEE AA,LU0210529490,JYJZ
JPM-EOP.DYN.JPMED AA,LU0210530662,JR6P
JPM-EOP.EQ. JPMEE AAEO,LU0210530746,JR6K
JPM-EO.SM.CAP JPMESC AA,LU0210531637,JYJW
JPM-EU.ST.GW.JPMESG AAEO,LU0210531801,JYJA
JPM-EU.ST.VA.JPMESV AAEO,LU0210531983,JPJH
JPM-GER.EQ.JPMGE AA,LU0210532791,JYJ9
JPM-GLOBAL FOCUS A ACC,LU0210534227,JR6L
JPM-GL.SO.RE. JPMGSR AA,LU0210534813,JYJC
HSBC GIF-THAI EQUITY A D.,LU0210637038,JHS5
HEN.GAR.-CONT.EURO.R EO D,LU0210855028,FGVV
HEN.GAR.-P.EUR.SM.CO.REOD,LU0210856778,G05B
F.TEM.INV-T.GL.INC. A ACC,LU0211326755,F7RJ
F.TEM.INV-FR.M.G.DI.A ACC,LU0211331839,XQ1D
F.TEM.INV-T.GL.INC.A A.EO,LU0211332563,FT9E
F.TEM.INV-T.GL.E.I.A A.EO,LU0211332647,XQ1N
F.TEM.INV-FR.M.G.D.A A.EO,LU0211333025,XQ1E
BL SIC.-GLOB.FLEX.EUR B,LU0211340665,OG8P
PARVEST-BD EO SH.T.D.CL,LU0212175060,WYJK
PARV.-EQ.EU.SM.CAP D.CLE,LU0212178676,PAC6
PARV.-EQ.EU.SM.CAP C.CLEO,LU0212178916,PACI
HSBC GIF-ASIA E.J.A C.HEO,LU0212851702,JM5Q
HSBC GIF-ASIA E.J.A D.HEO,LU0212851884,JM5N
BGF-GLOB.ALLOC.A2 EO HED,LU0212925753,MI90
AXA WLD-FR.EU.MICR.A T EO,LU0212992860,XRUE
BGF-US BASIC VAL.NA.A4 EO,LU0213336463,H2ZD
HSBC GIF-EUROL.GWTH M1 C.,LU0213956849,JM57
HSBC GIF-EUROL.GWTH M1 D.,LU0213957060,JM5A
HSBC GIF-TURKEY EQUI.A C,LU0213961682,XU8L
HSBC GIF-TURKEY EQUI.A D,LU0213961765,XU89
NN(L)-US HGH DIV.P C,LU0214494824,XUMA
FID.FDS-F.TA.2025 EO A-EO,LU0215158840,XC48
FID.FDS-F.TA.2030 EO A-EO,LU0215159145,XC44
PRIMA-GL WERTE A,LU0215933978,WYF1
DT.AKTIEN TOTAL RET.INH,LU0216092006,LR1J
JPM-EM.MK.EQ.JPMEME AAEO,LU0217576759,IH5E
UBS L KEY-DYN.AL.DL P-ACC,LU0218832805,FGZC
VONTOBEL-GL EQ.A-DL,LU0218910023,WYDD
VONTOBEL-GL EQ.B-DL,LU0218910536,WYDA
VONTOBEL-GL EQ.H-HD-EO,LU0218911690,UEU0
VONTOBEL-EM.MKTS E.H-EOH,LU0218912235,WYDC
MFS M.-AS.PAC.E-JP A1 EO,LU0219418679,XG4Q
MFS M.-GBL TOT.RET. A1 EO,LU0219418836,FHTI
MFS M.-GLB.CONCENTR.A1 EO,LU0219418919,XG4I
MFS M.-CONT.EUR.EQU.A1 EO,LU0219419214,XG4E
MFS M.-EMER.MKTS EQ.A1 EO,LU0219423836,XG4R
MFS M.-EUR.RESEARCH I1 EO,LU0219424131,XG4M
MFS M.-GLOB.EQUIT.A1(GBP),LU0219431268,FHTB
MFS M.-CONT.EUR.EQU.A1 LS,LU0219432076,XG4F
MFS M.-EUR.RESEARCH A1 DL,LU0219440335,XG44
MFS M.-EUROP.VALUE A1 DL,LU0219440764,XG4H
MFS M.-GLOB.EQUITY A1 DL,LU0219441069,XG4G
MFS M.-GBL.RES.FOCUS.A1DL,LU0219441143,FHTE
MFS M.-AS.PAC.E-JP A1 DL,LU0219441226,XG4S
MFS M.-GLB.CONCENTR.A1 DL,LU0219441572,XG4J
MFS M.-CONT.EUR.EQU.A1 DL,LU0219441739,XG4L
APO MEDICAL OPPORTUNITIES,LU0220663669,WZFA
ALLIANZ STFT NACH A(EUR),LU0224473941,ZZRW
ALLIANZ E.MKTS EQ.D.AEO,LU0224575943,DJEY
DEUT.INST.-YIELD,LU0224902659,FKN2
SISF GL EQU.YIELD A ACC,LU0225284248,XR53
JPM-RUSSIA FD JPMRF AA,LU0225506756,FH5R
MSI-US ADVANTAGE FD A,LU0225737302,XTS9
SISF GL EQU.YIELD A DIS,LU0225771236,0I79
DWS REND.OPT.FOUR SE.INH.,LU0225880524,FKN5
BALOISE FD-BFI EQU. EO. R,LU0226794815,C8HA
ROB.CGF-R.BP US PR.EQ.DDL,LU0226953718,FHQP
SMART-INVEST HELIOS AR A,LU0227003679,FJ7D
SISF SWISS EQU.OPPO.A ACC,LU0227177580,XR5F
SISF ASIAN SMALL.A ACC.DL,LU0227179875,ZJPD
NORDEA 1-STABLE RET.BP-EO,LU0227384020,XE67
DB PLAT.CR.BRAN.STARS R1C,LU0227852737,XYPG
AMU.-ABS.VLTY ARB.AE (C),LU0228157250,GANR
OP MEDICAL BIOHLTH-TRDS.H,LU0228344361,OPJZ
GREIFF SPEC.SITUAT.FD OP,LU0228348941,OPJ5
SISF BRIC A ACC. USD,LU0228659784,SRVP
BGF-EUROPEAN FOCUS F.A2EO,LU0229084990,MI9R
JSS-JSS OEKOSAR EQ.-GL.PD,LU0229773345,XP69
F.TEM.INV-F.MUT.EUR.A YD,LU0229938955,XQ1P
F.TEM.INV-T.AS.GR.A YD.EO,LU0229939763,XQ1L
F.TEM.INV-T.AS.GR.A A.EUR,LU0229940001,XQ1Q
F.TEM.INV-T.EUROLND A YD,LU0229941660,XQ1R
F.TEM.INV-GL.BD A MD. GBP,LU0229943369,F7RB
F.TEM.INV-BRIC A ACC.,LU0229945570,TESS
F.TEM.INV-BRIC A ACC.EUR,LU0229946628,TEST
F.TEM.INV-BRIC N ACC.EUR,LU0229946891,F7TA
F.TEM.INV-AS. BD A MDIS.,LU0229950067,F7RC
JUPIT.GL-J.GL.EC.GR.L EOA,LU0231118026,FGV7
F.TEM.INV-INDIA A ACC.,LU0231203729,TESV
F.TEM.INV-INDIA A ACC.EUR,LU0231205187,TESU
F.TEM.INV-INDIA N ACC.EUR,LU0231205856,FT92
ABERD.GL.-AS.P.EQ.D-2 LS,LU0231455378,AEF1
ABERD.GL-EME.MKTS EQ.D-2,LU0231456343,AEFA
ABERD.GL.-ASIAN SM. A-2,LU0231459107,ABD9
ABERD.GL.-ASIAN SM. D-2,LU0231459958,AEFE
ABERD.GL.-INDIAN EQ.D-2,LU0231462077,AEFD
ABERD.GL-EME.MKTS EQ.A-1,LU0231479394,AEFG
ABERD.GL.-CHINESE EQ.A-2,LU0231483743,AEF6
ABERD.GL.-INDIAN EQ.A-2,LU0231490524,AEF2
AB FCP I-AM.INC.PTF A2 EO,LU0232525203,AXBC
SISF BRIC A ACC. EUR,LU0232931963,SRVQ
SISF BRIC B ACC. EUR,LU0232932698,ZJPE
FPM FDS-FPM FDS LA.-EU.V.,LU0232955988,HVJM
HAIG S.-HAIG S.MUL.ASS.A,LU0234006269,HLX0
G.SACHS F.-US SC C.BC(DLA,LU0234576444,GS0P
GSF-BRICS EQUITY PORTF.DL,LU0234577095,GSWS
GSF-BRICS EQUI.PTF.DL ACC,LU0234580636,GSWX
GSF-BRICS EQU.PTF.I DL AC,LU0234580719,GSWW
GS FDS-EUR.EQU.PARTN.BEOA,LU0234678521,GSWM
G.SACHS FDS-EUR.CO.EUR AC,LU0234681749,GSWN
GSF-BRICS EQUITY PTF.E EO,LU0234683448,GSWU
F+C PTFS-RESP.GL EQ.A,LU0234759529,GQCN
F.TEM.I.-T.GL.T.R.A MD.EO,LU0234926953,FT9G
CIF-C.G.JAPAN EQ.B EUR,LU0235150082,CN56
G.SACHS-GL.CORE EQ.BA CL.,LU0235260006,GS0C
ALKEN FD-EUROP.OPPORT.R,LU0235308482,AAL1
JPM-JAPAN EQU. JPMJE AAYN,LU0235639324,JR6R
DE.INV.I-EUR.SMALL CAP LC,LU0236146774,HVJ6
DE.INV.I-EUR.SMALL CAP LD,LU0236146857,HVJ5
DE.INV.I-EUR.SMALL CAP NC,LU0236147079,HVJ4
DE.INV.I-EUR.SMALL CAP FC,LU0236150610,HVJ7
DE.INV.I-ASIAN S/M CAP LC,LU0236153390,HVJ3
DE.INV.I-ASIAN S/M CAP LD,LU0236153556,HVJ2
AMU.-EQUTY INDIA AU(C),LU0236501697,GANQ
DE.INV.I-NEW RESOURC. LC,LU0237014641,HVJZ
DE.INV.I-NEW RESOURC. LD,LU0237015291,HVJY
DE.INV.I-NEW RESOURC. NC,LU0237015457,HVJX
DE.INV.I-NEW RESOURC. FC,LU0237015887,HVJV
FID.FDS-GL. PROP. A EUR,LU0237697510,FPGH
FID.FDS-GL. PROP. A USD,LU0237698245,FPGI
FID.FDS-GL.PROP.A AC. USD,LU0237698914,IPG2
FID.FDS-EUROP FD A ACC.EO,LU0238202427,FPGG
FID.FDS-EM. MKT DEBT A EO,LU0238203821,IPG6
FID.FDS-EURO BOND E AC.EO,LU0238209513,FN8B
BGF-GL DYN.EQU.F.N.A2 USD,LU0238689110,ERD1
BGF-GL DYN.EQU.F.N.A2 EUR,LU0238689623,H2ZL
BGF-GL DYN.EQ.F.N.A2 EO-H,LU0238690555,B3F0
AB FCP I-JP.STR.VAL. A YN,LU0239027880,XAYW
BGF-GLOB.ALLOC.NAM.A4 EO,LU0240613025,XMHP
SISF GL SMALL.CO.A ACC.DL,LU0240877869,XR5Y
INVESCO ASIAN INF. A DIS.,LU0243955530,IU1G
INVESCO ASIAN INF. A ACC.,LU0243955886,IUGS
INVESCO PAN.EUR.HGH INC.A,LU0243957239,IUGU
INVESCO PAN.EUR.HGH INC.D,LU0243957312,IUGV
JPM-US VALUE A EO HED.,LU0244270301,JR6U
SISF CHINA OPPORT. A ACC.,LU0244354667,ZPJ5
ABAKUS-WORLD DIVIDEND,LU0245042477,TXIE
G.SACHS F.-GL.S.C.E A.SN.,LU0245182059,GSWA
G.SACHS F.-GL.S.C.C.B.CLD,LU0245329841,GS0J
SISF EUR.SP.SIT.A ACC.EUR,LU0246035637,XR5D
SISF EUR.SP.SIT.B ACC.EUR,LU0246036106,XR5M
CS IF 5-CS(L) INFRA.EQ.BH,LU0246498066,CR4B
UNIRESERVE:EO-CORPORATES,LU0247467987,UNO4
HEND.HORIZ.EUROLAN.X ACC,LU0247695934,HZ58
JPM INV-US SEL.EQ.A DI.DL,LU0247985343,JYJQ
JPM FDS-EU.STR.DI.A DI.EO,LU0247987802,JR6B
JPM INV-GL BALAN.A D.EO,LU0247991317,JR6S
JPMIF-GBL MAC.BAL. IEO,LU0247992638,JYJ8
SISF EMERG.ASIA A ACC.EUR,LU0248172537,ZJPH
SISF EMERG.ASIA A1ACC.EUR,LU0248174152,ZJPI
SISF QEP GL ACT.VAL.AA EO,LU0248176017,XR5N
SISF BRIC A1 ACC. EUR,LU0248178906,ZJPP
SISF LAT.AMER. A ACC. EUR,LU0248181363,XR5W
SISF LAT.AMER. B ACC. EUR,LU0248183815,ZPJI
SISF LAT.AMER. A1 ACC.EUR,LU0248184383,XR5X
GSF-BRICS EQUI.PTF.ACC EO,LU0248245358,GSWQ
BGF-INDA FUND A2 EUR,LU0248271941,H2ZI
BGF-INDA FUND A2 USD,LU0248272758,FJRR
PICTET-HEALTH NAM.HPEO,LU0248320664,PJA2
PICTET-HEALTH NAM.HREO,LU0248320821,PJA3
AMUNDI-EQ.JAPAN VAL.AJ(C),LU0248702192,GANL
COMMODITIES-INV.UNICOMMO.,LU0249045476,UNO5
M.A.-J.R.INT.COM.IND.ETF,LU0249326488,M9SA
BGF-JAP.SM.+MIDC.OPP.A2YN,LU0249411835,FJRV
DEKA-LIQUIDITAETSPLAN CF,LU0249486092,DEDY
AGIF-GLBL ECOTRENDS A EO,LU0250028817,UQ2J
AGIF-GLBL ECOTRENDS CTEO,LU0250034039,UQ2F
NN(L)-GL.EQU.OPPS PCAPEO,LU0250158358,I3G7
NN(L)-GL.REAL EST. PEOCAP,LU0250172185,XUMS
PATRIARCH-SELECT CHANCE B,LU0250688156,HLXY
FID.FDS-EO BL.CH. A AC.EO,LU0251128657,XC4G
FID.FDS-EU.L.COS A ACC.EO,LU0251129549,IPG5
FID.FDS-INTL A ACC.EUR GL,LU0251129895,XC4M
FID.FDS-EURO BOND A AC.EO,LU0251130638,XC4N
AXA WLD-EURO 5-7 A T. EO,LU0251659776,AW4K
AXA WLD-EURO 5-7 A A. EO,LU0251659933,AW4L
AXA WLD-EURO 5-7 E T. EO,LU0251660279,XRUB
AXA WLD-EURO 3-5 A T. EO,LU0251660352,AW4M
AXA WLD-EURO 3-5 A A. EO,LU0251660519,AW4N
AXA WLD-EURO 3-5 E T. EO,LU0251660782,XRUC
"CPI PROPERTY GRP   EO-,10",LU0251710041,O5G
AB S.I-INT.H.CARE PTF.AEO,LU0251853072,AXBF
AB S.I-INT.H.CARE PTF.IEO,LU0251855366,AXBE
MUL-LYXOR DAX DR UC.ETF,LU0252633754,LYY7
MUL-LYX.DLY.LEVDAX UC.ETF,LU0252634307,LYY8
BGF-LATIN AMER.NAM.D2 EO,LU0252965164,XMHK
BGF-EUROPEAN FD N.D2 EO,LU0252966055,XMHI
BGF-EUROPEAN FOCUS F.A2DL,LU0252970834,H2ZE
G+P INV.-G+P-STRUKT.I.R-T,LU0254322158,G9IB
DE.INV.I-EO BDS(PREM.) LC,LU0254489874,FGM9
DE.INV.I-EO BDS(PREM.) LD,LU0254491003,FGM0
PRIMA-GL CHALLENGES A,LU0254565053,WYF2
ROBECO EMERG.STA.EQ. D EO,LU0254836850,XRQ4
HSBC GIF-BRIC MKTS EQ.A C,LU0254981946,XU81
HSBC GIF-BRIC MKTS EQ.A D,LU0254982241,XU82
HSBC GIF-LAT.AMER.EQ.M1 C,LU0254985343,XU8B
HSBC GIF-LAT.AMER.EQ.M1 D,LU0254986077,XU8A
NORDEA 1-STABLE RET.AP-EO,LU0255639139,XE63
PICTET-EM.LOC.CUR.D.IDL,LU0255798018,PJAG
PICTET-EM.LOC.CUR.D.PDYDL,LU0255798281,PIMQ
PICTET-BIOTECH NAM.P EO,LU0255977455,PJAZ
PICTET-INDIAN EQS N.P EO,LU0255979071,PIMW
PICTET-WATER R (DL),LU0255980673,P3II
PICTET-EUROL.IND.NA.PEO,LU0255980913,PJAD
STARCAP-WINBONDS + A,LU0256567925,3SP2
CANDR.EQ.L-AUSTRALIA C CO,LU0256780106,XUO6
LO F.-EUROZ.SM.+MID C.A P,LU0256787531,LOH2
AGIF-EUR.EQU.GRTH A EO,LU0256839191,UQ2A
AGIF-EUR.EQU.GRTH AT EO,LU0256839274,UQ2B
AGIF-EUR.EQU.GRTH CT EO,LU0256839860,UQ23
AGIF-EOLAND EQU.GRTH A EO,LU0256839944,DJEC
AGIF-EOLAND EQU.GRTH ATEO,LU0256840447,DJEE
PICTET-US EQU.SEL.HP EO,LU0256844860,PJAL
PICTET-SECURITY P DL,LU0256846139,PIML
PICTET-SECURITY P DY DL,LU0256846303,PJAU
AGIF-EUR.EQU.GRTH I EO,LU0256880153,AZHQ
AGIF-EUR.EQU.GRTH IT EO,LU0256881128,AZHR
AGIF-EOLAND EQU.GRTH I EO,LU0256883843,DJE3
DEKA-LIQUIDITAETSPL.2 CF,LU0258316081,DEDZ
M.A.-RICI METALS IND.ETF,LU0259320728,M9SC
M.A.-RICI AGRIC.IND.ETF,LU0259321452,M9SB
M.A.-NYSE AR.GO.BU.IN.ETF,LU0259322260,M9SD
M.A.-DAXGLOB.ASIA IND.ETF,LU0259323235,M9SF
JUP.GL.FD.-J.EU.GR.LEOA,LU0260085492,FGV4
F.TEM.INV-F.U.S.O.A YD.EO,LU0260861751,XQ1T
F.TEM.INV-F.INDIA A YD.EO,LU0260862304,XQ1U
F.TEM.I.-F.M.GL.D.A YD.EO,LU0260862726,XQ1V
F.TEM.INV-T.CHINA A YD.EO,LU0260864003,XQ1Y
F.TEM.INV-LAT.AM. A YD.EO,LU0260865158,XQ1H
F.TEM.INV-F.TECHN.A A.EUR,LU0260870158,XQ1Z
F.TEM.INV-T.AS.GR.N A.EUR,LU0260870406,XQ10
F.TEM.INV-T.G.T.R.A A.EUR,LU0260870661,FT9K
FID.FDS-ASEAN A ACC. USD,LU0261945553,IPGN
FID.FDS-ASIA FOC.A ACC.EO,LU0261946445,IPGS
FID.FDS-GERMANY A ACC.EUR,LU0261948227,XC4B
FID.FDS-AUSTRAL.A ACC.AUD,LU0261950041,IPGP
FID.FDS-EMER.M. A ACC.USD,LU0261950470,FPII
FID.FDS-EURO BAL.AACC.EUR,LU0261950553,FPIH
FID.FDS-AS.SP.S.A ACC.USD,LU0261950983,IPGW
FID.FDS-EU.SM.C.A ACC.EUR,LU0261951528,FJRY
FID.FDS-GL TELEC.A ACC.EO,LU0261951957,IPGZ
FID.FDS-GL HTH C.A ACC.EO,LU0261952419,FJR3
FID.FDS-EUR.D.G.A ACC.EUR,LU0261959422,IPGC
NN(L)-EUR.EQU.OPPS PCAP,LU0262017568,XUMC
UNIOPTI4 INH.,LU0262776809,UNOL
DEKA-COMMODITIES TF A,LU0263138561,FKQ6
UBS L KE-G.A.F.E.EO P-ACC,LU0263318890,WZEH
PAR.GRP L.I.-LIS.INF.EOPA,LU0263855479,WZF9
